Method,Path,Class,Package,ReturnType,isFinal,isAbstract,isDefault,isStatic,NumParams,ParamTypes,parNumStandardTypes,parNumCustomTypes,parNumUnresolvedTypes,AccessModifier,Annotations,Javadoc,Expressions,ExpressionTypes,expNumStandardTypes,expNumCustomTypes,expNumUnresolvedTypes,RawLoc,CleanLoc,AllStandard,AllCustomAndUnresolved
_addPlaceholder,repos/JacksonDatabind-112f/attic/TypeBindings.java,TypeBindings,com.fasterxml.jackson.databind.type,void,false,false,false,false,1,ob String cb,0,1,0,public,,,ob _placeholders == null  _placeholders  null  _placeholders = new HashSet<String> op  cp   _placeholders  new HashSet<String> op  cp   _placeholders.add op name cp   _placeholders  name cb,ob  cb,0,0,0,-1,-1,1,1
_resolveBindings,repos/JacksonDatabind-112f/attic/TypeBindings.java,TypeBindings,com.fasterxml.jackson.databind.type,void,false,false,false,false,1,ob Type cb,0,1,0,protected,,,ob t == null  t  null  Class<?> raw  t instanceof ParameterizedType  t  ParameterizedType pt =  op ParameterizedType cp  t   op ParameterizedType cp  t  t  Type ob  cb  args = pt.getActualTypeArguments op  cp   pt.getActualTypeArguments op  cp   pt  args != null && args.length > 0  args != null  args  null  args.length > 0  args.length  args  0  Class<?> rawType =  op Class<?> cp  pt.getRawType op  cp    op Class<?> cp  pt.getRawType op  cp   pt.getRawType op  cp   pt  TypeVariable<?> ob  cb  vars = rawType.getTypeParameters op  cp   rawType.getTypeParameters op  cp   rawType  vars.length != args.length  vars.length  vars  args.length  args  new IllegalArgumentException op ""Strange parametrized type  op in class "" + rawType.getName op  cp  + "" cp : number of type arguments != number of type parameters  op "" + args.length + "" vs "" + vars.length + "" cp "" cp   ""Strange parametrized type  op in class "" + rawType.getName op  cp  + "" cp : number of type arguments != number of type parameters  op "" + args.length + "" vs "" + vars.length + "" cp ""  ""Strange parametrized type  op in class "" + rawType.getName op  cp  + "" cp : number of type arguments != number of type parameters  op "" + args.length + "" vs "" + vars.length  ""Strange parametrized type  op in class "" + rawType.getName op  cp  + "" cp : number of type arguments != number of type parameters  op "" + args.length + "" vs ""  ""Strange parametrized type  op in class "" + rawType.getName op  cp  + "" cp : number of type arguments != number of type parameters  op "" + args.length  ""Strange parametrized type  op in class "" + rawType.getName op  cp  + "" cp : number of type arguments != number of type parameters  op ""  ""Strange parametrized type  op in class "" + rawType.getName op  cp   ""Strange parametrized type  op in class ""  rawType.getName op  cp   rawType  "" cp : number of type arguments != number of type parameters  op ""  args.length  args  "" vs ""  vars.length  vars  "" cp ""  int i = 0  len = args.length  0  args.length  args  i < len  i  len  ++i  i  TypeVariable<?> var = vars ob i cb   vars ob i cb   vars  i  String name = var.getName op  cp   var.getName op  cp   var  _bindings == null  _bindings  null  _bindings = new LinkedHashMap<String  JavaType> op  cp   _bindings  new LinkedHashMap<String  JavaType> op  cp   _bindings.containsKey op name cp   _bindings  name  _addPlaceholder op name cp   name  _bindings.put op name  _typeFactory._constructType op _classStack  args ob i cb   this cp  cp   _bindings  name  _typeFactory._constructType op _classStack  args ob i cb   this cp   _typeFactory  _classStack  args ob i cb   args  i  this  raw =  op Class<?> cp  pt.getRawType op  cp   raw   op Class<?> cp  pt.getRawType op  cp   pt.getRawType op  cp   pt  t instanceof Class<?>  t  raw =  op Class<?> cp  t  raw   op Class<?> cp  t  t  Class<?> decl = ClassUtil.getDeclaringClass op raw cp   ClassUtil.getDeclaringClass op raw cp   ClassUtil  raw  decl != null && !decl.isAssignableFrom op raw cp   decl != null  decl  null  !decl.isAssignableFrom op raw cp   decl.isAssignableFrom op raw cp   decl  raw  _resolveBindings op decl cp   decl  TypeVariable<?> ob  cb  vars = raw.getTypeParameters op  cp   raw.getTypeParameters op  cp   raw  vars != null && vars.length > 0  vars != null  vars  null  vars.length > 0  vars.length  vars  0  JavaType ob  cb  typeParams = null  null  _contextType != null && raw.isAssignableFrom op _contextType.getRawClass op  cp  cp   _contextType != null  _contextType  null  raw.isAssignableFrom op _contextType.getRawClass op  cp  cp   raw  _contextType.getRawClass op  cp   _contextType  typeParams = _typeFactory.findTypeParameters op _contextType  raw cp   typeParams  _typeFactory.findTypeParameters op _contextType  raw cp   _typeFactory  _contextType  raw  int i = 0  0  i < vars.length  i  vars.length  vars  i++  i  TypeVariable<?> var = vars ob i cb   vars ob i cb   vars  i  String name = var.getName op  cp   var.getName op  cp   var  Type varType = var.getBounds op  cp  ob 0 cb   var.getBounds op  cp  ob 0 cb   var.getBounds op  cp   var  0  varType != null  varType  null  _bindings == null  _bindings  null  _bindings = new LinkedHashMap<String  JavaType> op  cp   _bindings  new LinkedHashMap<String  JavaType> op  cp   _bindings.containsKey op name cp   _bindings  name  _addPlaceholder op name cp   name  typeParams != null && typeParams.length > i  typeParams != null  typeParams  null  typeParams.length > i  typeParams.length  typeParams  i  _bindings.put op name  typeParams ob i cb  cp   _bindings  name  typeParams ob i cb   typeParams  i  _bindings.put op name  _typeFactory._constructType op _classStack  varType  this cp  cp   _bindings  name  _typeFactory._constructType op _classStack  varType  this cp   _typeFactory  _classStack  varType  this  _resolveBindings op ClassUtil.getGenericSuperclass op raw cp  cp   ClassUtil.getGenericSuperclass op raw cp   ClassUtil  raw  Type intType  raw.getGenericInterfaces op  cp   raw  _resolveBindings op intType cp   intType cb,ob  cb,0,0,0,-1,-1,1,1
toString,repos/JacksonDatabind-112f/attic/TypeBindings.java,TypeBindings,com.fasterxml.jackson.databind.type,String,false,false,false,false,0,ob  cb,0,0,0,public,Override,,ob @Override  _bindings == null  _bindings  null  _resolve op  cp   StringBuilder sb = new StringBuilder op "" ob TypeBindings for "" cp   new StringBuilder op "" ob TypeBindings for "" cp   "" ob TypeBindings for ""  _contextType != null  _contextType  null  sb.append op _contextType.toString op  cp  cp   sb  _contextType.toString op  cp   _contextType  sb.append op _contextClass.getName op  cp  cp   sb  _contextClass.getName op  cp   _contextClass  sb.append op "": "" cp .append op _bindings cp .append op "" cb "" cp   sb.append op "": "" cp .append op _bindings cp   sb.append op "": "" cp   sb  "": ""  _bindings  "" cb ""  sb.toString op  cp   sb cb,ob  cb,0,0,0,-1,-1,0,1
canReuse,repos/JacksonDatabind-112f/attic/ContainerBuilder.java,ContainerBuilder,com.fasterxml.jackson.databind.util,boolean,false,false,false,false,0,ob  cb,0,0,0,public,,,ob  op list == null cp  &&  op map == null cp    op list == null cp   list == null  list  null   op map == null cp   map == null  map  null cb,ob  cb,0,0,0,-1,-1,1,0
bufferLength,repos/JacksonDatabind-112f/attic/ContainerBuilder.java,ContainerBuilder,com.fasterxml.jackson.databind.util,int,false,false,false,false,0,ob  cb,0,0,0,public,,,ob b.length  b cb,ob  cb,0,0,0,-1,-1,1,0
start,repos/JacksonDatabind-112f/attic/ContainerBuilder.java,ContainerBuilder,com.fasterxml.jackson.databind.util,int,false,false,false,false,0,ob  cb,0,0,0,public,,,ob list != null || map != null  list != null  list  null  map != null  map  null  new IllegalStateException op  cp   final int prevStart = start  start  start = tail  start  tail  prevStart cb,ob  cb,0,0,0,-1,-1,1,0
startList,repos/JacksonDatabind-112f/attic/ContainerBuilder.java,ContainerBuilder,com.fasterxml.jackson.databind.util,int,false,false,false,false,1,ob Object cb,0,1,0,public,,,ob list != null || map != null  list != null  list  null  map != null  map  null  new IllegalStateException op  cp   final int prevStart = start  start  start = tail  start  tail  add op value cp   value  prevStart cb,ob  cb,0,0,0,-1,-1,1,1
startMap,repos/JacksonDatabind-112f/attic/ContainerBuilder.java,ContainerBuilder,com.fasterxml.jackson.databind.util,int,false,false,false,false,2,ob String  Object cb,0,2,0,public,,,ob list != null || map != null  list != null  list  null  map != null  map  null  new IllegalStateException op  cp   final int prevStart = start  start  start = tail  start  tail  put op key  value cp   key  value  prevStart cb,ob  cb,0,0,0,-1,-1,1,2
add,repos/JacksonDatabind-112f/attic/ContainerBuilder.java,ContainerBuilder,com.fasterxml.jackson.databind.util,void,false,false,false,false,1,ob Object cb,0,1,0,public,,,ob list != null  list  null  list.add op value cp   list  value  tail >= b.length  tail  b.length  b  _expandList op value cp   value  b ob tail++ cb  = value  b ob tail++ cb   b  tail++  tail  value cb,ob  cb,0,0,0,-1,-1,1,1
put,repos/JacksonDatabind-112f/attic/ContainerBuilder.java,ContainerBuilder,com.fasterxml.jackson.databind.util,void,false,false,false,false,2,ob String  Object cb,0,2,0,public,,,ob map != null  map  null  map.put op key  value cp   map  key  value   op tail + 2 cp  > b.length   op tail + 2 cp   tail + 2  tail  2  b.length  b  _expandMap op key  value cp   key  value  b ob tail++ cb  = key  b ob tail++ cb   b  tail++  tail  key  b ob tail++ cb  = value  b ob tail++ cb   b  tail++  tail  value cb,ob  cb,0,0,0,-1,-1,1,2
finishList,repos/JacksonDatabind-112f/attic/ContainerBuilder.java,ContainerBuilder,com.fasterxml.jackson.databind.util,List<Object>,false,false,false,false,1,ob int cb,1,0,0,public,,,ob List<Object> l = list  list  l == null  l  null  l = _buildList op true cp   l  _buildList op true cp   true  list = null  list  null  start = prevStart  start  prevStart  l cb,ob  cb,0,0,0,-1,-1,1,1
finishArray,repos/JacksonDatabind-112f/attic/ContainerBuilder.java,ContainerBuilder,com.fasterxml.jackson.databind.util,Object ob  cb,false,false,false,false,1,ob int cb,1,0,0,public,,,ob Object ob  cb  result  list == null  list  null  result = Arrays.copyOfRange op b  start  tail cp   result  Arrays.copyOfRange op b  start  tail cp   Arrays  b  start  tail  result = list.toArray op new Object ob tail - start cb  cp   result  list.toArray op new Object ob tail - start cb  cp   list  new Object ob tail - start cb   tail - start  tail  start  list = null  list  null  start = prevStart  start  prevStart  result cb,ob  cb,0,0,0,-1,-1,1,1
finishArray,repos/JacksonDatabind-112f/attic/ContainerBuilder.java,ContainerBuilder,com.fasterxml.jackson.databind.util,Object ob  cb,false,false,false,false,2,ob int  Class<T> cb,1,1,0,public,,,ob final int size = tail - start  tail - start  tail  start  @SuppressWarnings op ""unchecked"" cp  T ob  cb  result =  op T ob  cb  cp  Array.newInstance op elemType  size cp   @SuppressWarnings op ""unchecked"" cp   ""unchecked""   op T ob  cb  cp  Array.newInstance op elemType  size cp   Array.newInstance op elemType  size cp   Array  elemType  size  list == null  list  null  System.arraycopy op b  start  result  0  size cp   System  b  start  result  0  size  result = list.toArray op result cp   result  list.toArray op result cp   list  result  list = null  list  null  start = prevStart  start  prevStart  result cb,ob  cb,0,0,0,-1,-1,1,2
finishMap,repos/JacksonDatabind-112f/attic/ContainerBuilder.java,ContainerBuilder,com.fasterxml.jackson.databind.util,Map<String Object>,false,false,false,false,1,ob int cb,1,0,0,public,,,ob Map<String  Object> m = map  map  m == null  m  null  m = _buildMap op true cp   m  _buildMap op true cp   true  map = null  map  null  start = prevStart  start  prevStart  m cb,ob  cb,0,0,0,-1,-1,1,1
_expandList,repos/JacksonDatabind-112f/attic/ContainerBuilder.java,ContainerBuilder,com.fasterxml.jackson.databind.util,void,false,false,false,false,1,ob Object cb,0,1,0,private,,,ob b.length < MAX_BUF  b.length  b  MAX_BUF  b = Arrays.copyOf op b  b.length << 1 cp   b  Arrays.copyOf op b  b.length << 1 cp   Arrays  b  b.length << 1  b.length  b  1  b ob tail++ cb  = value  b ob tail++ cb   b  tail++  tail  value  list = _buildList op false cp   list  _buildList op false cp   false  list.add op value cp   list  value cb,ob  cb,0,0,0,-1,-1,1,1
_buildList,repos/JacksonDatabind-112f/attic/ContainerBuilder.java,ContainerBuilder,com.fasterxml.jackson.databind.util,List<Object>,false,false,false,false,1,ob boolean cb,1,0,0,private,,,ob int currLen = tail - start  tail - start  tail  start  isComplete  currLen < 2  currLen  2  currLen = 2  currLen  2  currLen < 20  currLen  20  currLen = 20  currLen  20  currLen < MAX_BUF  currLen  MAX_BUF  currLen +=  op currLen >> 1 cp   currLen   op currLen >> 1 cp   currLen >> 1  currLen  1  currLen +=  op currLen >> 2 cp   currLen   op currLen >> 2 cp   currLen >> 2  currLen  2  List<Object> l = new ArrayList<Object> op currLen cp   new ArrayList<Object> op currLen cp   currLen  int i = start  start  i < tail  i  tail  ++i  i  l.add op b ob i cb  cp   l  b ob i cb   b  i  tail = start  tail  start  l cb,ob  cb,0,0,0,-1,-1,1,1
_expandMap,repos/JacksonDatabind-112f/attic/ContainerBuilder.java,ContainerBuilder,com.fasterxml.jackson.databind.util,void,false,false,false,false,2,ob String  Object cb,0,2,0,private,,,ob b.length < MAX_BUF  b.length  b  MAX_BUF  b = Arrays.copyOf op b  b.length << 1 cp   b  Arrays.copyOf op b  b.length << 1 cp   Arrays  b  b.length << 1  b.length  b  1  b ob tail++ cb  = key  b ob tail++ cb   b  tail++  tail  key  b ob tail++ cb  = value  b ob tail++ cb   b  tail++  tail  value  map = _buildMap op false cp   map  _buildMap op false cp   false  map.put op key  value cp   map  key  value cb,ob  cb,0,0,0,-1,-1,1,2
_buildMap,repos/JacksonDatabind-112f/attic/ContainerBuilder.java,ContainerBuilder,com.fasterxml.jackson.databind.util,Map<String Object>,false,false,false,false,1,ob boolean cb,1,0,0,private,,,ob int size =  op tail - start cp  >> 1   op tail - start cp  >> 1   op tail - start cp   tail - start  tail  start  1  isComplete  size <= 3  size  3  size = 4  size  4  size <= 40  size  40  size +=  op size >> 1 cp   size   op size >> 1 cp   size >> 1  size  1  size +=  op size >> 2 cp  +  op size >> 4 cp   size   op size >> 2 cp  +  op size >> 4 cp    op size >> 2 cp   size >> 2  size  2   op size >> 4 cp   size >> 4  size  4  size < 10  size  10  size = 16  size  16  size < MAX_BUF  size  MAX_BUF  size +=  op size >> 1 cp   size   op size >> 1 cp   size >> 1  size  1  size +=  op size / 3 cp   size   op size / 3 cp   size / 3  size  3  Map<String  Object> m = new LinkedHashMap<String  Object> op size  0.8f cp   new LinkedHashMap<String  Object> op size  0.8f cp   size  0.8f  int i = start  start  i < tail  i  tail  i += 2  i  2  m.put op  op String cp  b ob i cb   b ob i + 1 cb  cp   m   op String cp  b ob i cb   b ob i cb   b  i  b ob i + 1 cb   b  i + 1  i  1  tail = start  tail  start  m cb,ob  cb,0,0,0,-1,-1,1,1
getBaseSettings,repos/JacksonDatabind-112f/src/main/java/com/fasterxml/jackson/databind/DeserializationConfig.java,DeserializationConfig,com.fasterxml.jackson.databind,BaseSettings,false,false,false,false,0,ob  cb,0,0,0,protected,,,ob _base cb,ob  cb,0,0,0,-1,-1,0,1
_withBase,repos/JacksonDatabind-112f/src/main/java/com/fasterxml/jackson/databind/DeserializationConfig.java,DeserializationConfig,com.fasterxml.jackson.databind,DeserializationConfig,true,false,false,false,1,ob BaseSettings cb,0,1,0,protected,Override,,ob // since 2.9 @Override   op _base == newBase cp  ? this : new DeserializationConfig op this  newBase cp    op _base == newBase cp   _base == newBase  _base  newBase  this  new DeserializationConfig op this  newBase cp   this  newBase cb,ob  cb,0,0,0,-1,-1,0,2
_withMapperFeatures,repos/JacksonDatabind-112f/src/main/java/com/fasterxml/jackson/databind/DeserializationConfig.java,DeserializationConfig,com.fasterxml.jackson.databind,DeserializationConfig,true,false,false,false,1,ob int cb,1,0,0,protected,Override,,ob // since 2.9 @Override  new DeserializationConfig op this  mapperFeatures  _deserFeatures  _parserFeatures  _parserFeaturesToChange  _formatReadFeatures  _formatReadFeaturesToChange cp   this  mapperFeatures  _deserFeatures  _parserFeatures  _parserFeaturesToChange  _formatReadFeatures  _formatReadFeaturesToChange cb,ob  cb,0,0,0,-1,-1,1,1
with,repos/JacksonDatabind-112f/src/main/java/com/fasterxml/jackson/databind/DeserializationConfig.java,DeserializationConfig,com.fasterxml.jackson.databind,DeserializationConfig,false,false,false,false,1,ob SubtypeResolver cb,0,1,0,public,Override,,ob @Override   op _subtypeResolver == str cp  ? this : new DeserializationConfig op this  str cp    op _subtypeResolver == str cp   _subtypeResolver == str  _subtypeResolver  str  this  new DeserializationConfig op this  str cp   this  str cb,ob  cb,0,0,0,-1,-1,0,2
withRootName,repos/JacksonDatabind-112f/src/main/java/com/fasterxml/jackson/databind/DeserializationConfig.java,DeserializationConfig,com.fasterxml.jackson.databind,DeserializationConfig,false,false,false,false,1,ob PropertyName cb,0,1,0,public,Override,,ob @Override  rootName == null  rootName  null  _rootName == null  _rootName  null  this  rootName.equals op _rootName cp   rootName  _rootName  this  new DeserializationConfig op this  rootName cp   this  rootName cb,ob  cb,0,0,0,-1,-1,0,2
withView,repos/JacksonDatabind-112f/src/main/java/com/fasterxml/jackson/databind/DeserializationConfig.java,DeserializationConfig,com.fasterxml.jackson.databind,DeserializationConfig,false,false,false,false,1,ob Class<?> cb,0,1,0,public,Override,,ob @Override   op _view == view cp  ? this : new DeserializationConfig op this  view cp    op _view == view cp   _view == view  _view  view  this  new DeserializationConfig op this  view cp   this  view cb,ob  cb,0,0,0,-1,-1,0,2
with,repos/JacksonDatabind-112f/src/main/java/com/fasterxml/jackson/databind/DeserializationConfig.java,DeserializationConfig,com.fasterxml.jackson.databind,DeserializationConfig,false,false,false,false,1,ob ContextAttributes cb,0,1,0,public,Override,,ob @Override   op attrs == _attributes cp  ? this : new DeserializationConfig op this  attrs cp    op attrs == _attributes cp   attrs == _attributes  attrs  _attributes  this  new DeserializationConfig op this  attrs cp   this  attrs cb,ob  cb,0,0,0,-1,-1,0,2
with,repos/JacksonDatabind-112f/src/main/java/com/fasterxml/jackson/databind/DeserializationConfig.java,DeserializationConfig,com.fasterxml.jackson.databind,DeserializationConfig,false,false,false,false,1,ob DeserializationFeature cb,0,1,0,public,,Fluent factory method that will construct and return a new configuration object instance with specified features enabled.,ob int newDeserFeatures =  op _deserFeatures | feature.getMask op  cp  cp    op _deserFeatures | feature.getMask op  cp  cp   _deserFeatures | feature.getMask op  cp   _deserFeatures  feature.getMask op  cp   feature   op newDeserFeatures == _deserFeatures cp  ? this : new DeserializationConfig op this  _mapperFeatures  newDeserFeatures  _parserFeatures  _parserFeaturesToChange  _formatReadFeatures  _formatReadFeaturesToChange cp    op newDeserFeatures == _deserFeatures cp   newDeserFeatures == _deserFeatures  newDeserFeatures  _deserFeatures  this  new DeserializationConfig op this  _mapperFeatures  newDeserFeatures  _parserFeatures  _parserFeaturesToChange  _formatReadFeatures  _formatReadFeaturesToChange cp   this  _mapperFeatures  newDeserFeatures  _parserFeatures  _parserFeaturesToChange  _formatReadFeatures  _formatReadFeaturesToChange cb,ob  cb,0,0,0,-1,-1,0,2
with,repos/JacksonDatabind-112f/src/main/java/com/fasterxml/jackson/databind/DeserializationConfig.java,DeserializationConfig,com.fasterxml.jackson.databind,DeserializationConfig,false,false,false,false,2,ob DeserializationFeature  DeserializationFeature cb,0,1,0,public,,Fluent factory method that will construct and return a new configuration object instance with specified features enabled.,ob int newDeserFeatures = _deserFeatures | first.getMask op  cp   _deserFeatures | first.getMask op  cp   _deserFeatures  first.getMask op  cp   first  DeserializationFeature f  features  newDeserFeatures |= f.getMask op  cp   newDeserFeatures  f.getMask op  cp   f   op newDeserFeatures == _deserFeatures cp  ? this : new DeserializationConfig op this  _mapperFeatures  newDeserFeatures  _parserFeatures  _parserFeaturesToChange  _formatReadFeatures  _formatReadFeaturesToChange cp    op newDeserFeatures == _deserFeatures cp   newDeserFeatures == _deserFeatures  newDeserFeatures  _deserFeatures  this  new DeserializationConfig op this  _mapperFeatures  newDeserFeatures  _parserFeatures  _parserFeaturesToChange  _formatReadFeatures  _formatReadFeaturesToChange cp   this  _mapperFeatures  newDeserFeatures  _parserFeatures  _parserFeaturesToChange  _formatReadFeatures  _formatReadFeaturesToChange cb,ob  cb,0,0,0,-1,-1,0,2
withFeatures,repos/JacksonDatabind-112f/src/main/java/com/fasterxml/jackson/databind/DeserializationConfig.java,DeserializationConfig,com.fasterxml.jackson.databind,DeserializationConfig,false,false,false,false,1,ob DeserializationFeature cb,0,1,0,public,,Fluent factory method that will construct and return a new configuration object instance with specified features enabled.,ob int newDeserFeatures = _deserFeatures  _deserFeatures  DeserializationFeature f  features  newDeserFeatures |= f.getMask op  cp   newDeserFeatures  f.getMask op  cp   f   op newDeserFeatures == _deserFeatures cp  ? this : new DeserializationConfig op this  _mapperFeatures  newDeserFeatures  _parserFeatures  _parserFeaturesToChange  _formatReadFeatures  _formatReadFeaturesToChange cp    op newDeserFeatures == _deserFeatures cp   newDeserFeatures == _deserFeatures  newDeserFeatures  _deserFeatures  this  new DeserializationConfig op this  _mapperFeatures  newDeserFeatures  _parserFeatures  _parserFeaturesToChange  _formatReadFeatures  _formatReadFeaturesToChange cp   this  _mapperFeatures  newDeserFeatures  _parserFeatures  _parserFeaturesToChange  _formatReadFeatures  _formatReadFeaturesToChange cb,ob  cb,0,0,0,-1,-1,0,2
